Onset;Bar;Duration (s);Tempo (bpm);Intensity (dB)
422.9863039;151;1.79955;26.3672;75.6
424.7858503;152;2.12463;33.3417;72.6
426.9104762;153;1.78794;28.2403;67.3
428.6984127;154;1.88082;33.5582;73.5
430.579229;155;2.03175;31.901;68.5
432.6109751;156;2.29932;29.5312;75.4
434.9102948;157;1.84544;26.0947;74.2
436.755737;158;1.76472;32.5125;73.1
438.5204535;159;1.48608;33.9998;80.1
440.0065306;160;1.42907;40.3748;81.9
441.4356009;161;1.40376;41.9853;81.6
442.8393651;162;1.49769;42.7422;73.1
444.3370522;163;1.48608;40.0618;75.9
445.8231293;164;1.49769;40.3748;74.6
447.3208163;165;1.49671;40.0618;77
448.8175283;166;1.6612;40.0879;78.4
450.4787302;167;1.67184;36.1184;84.4
452.1505669;168;1.64862;35.8887;74.9
453.7991837;169;1.48608;36.3941;75
455.2852608;170;1.53252;40.3748;83.8
456.8177778;171;1.64862;39.1513;83.2
458.4663946;172;1.64281;36.3941;79.9
460.1092063;173;1.72408;36.5227;77.8
461.833288;174;1.70667;34.8011;75.3
463.5399546;175;1.78705;35.1562;74
465.3270068;176;1.80043;33.5748;78.8
467.1274376;177;1.96209;33.3254;81.8
469.0895238;178;1.96209;30.5797;81.2
471.05161;179;1.89243;30.5797;79.8
472.9440363;180;1.71828;31.7053;72.7
474.6623129;181;2.0898;34.9187;73.5
476.7521088;182;2.00753;28.7109;78.6
478.7596372;183;2.06757;29.8875;74.5
480.8272109;184;1.83438;29.0195;73.9
482.6615873;185;1.9737;32.7087;69.2
484.6352834;186;2.36844;30.3998;69.8
487.0037188;187;2.11302;25.3332;66.2
489.1167347;188;2.44971;28.3954;71.2
491.5664399;189;2.05737;24.4927;70.8
493.6238095;190;2.02934;29.1635;71.5
495.6531519;191;2.31039;29.5662;66.4
497.9635374;192;2.28717;25.9697;69.3
500.2507029;193;3.54104;26.2333;70.4
503.791746;194;3.33206;16.9442;63.9
507.1238095;195;3.35528;18.0069;65.7
510.479093;196;2.92571;17.8822;64.2
513.4048073;197;3.21596;20.5078;63.8
516.620771;198;2.63546;18.6569;63.6
519.2562358;199;2.80961;22.7664;64
522.0658503;200;2.72921;21.3552;69.2
524.7950567;201;3.24993;21.9844;67
528.0449887;202;4.51628;18.4619;66.3
532.5612698;203;2.62385;13.2853;66.1
535.1851247;204;2.51937;22.8671;67.3
537.7044898;205;2.75156;23.8155;71.5
540.4560544;206;3.55265;21.8058;68.6
544.0087075;207;1.71828;16.8888;79.8
545.7269841;208;1.77633;34.9187;80.3
547.5033107;209;1.83615;33.7776;72.8
549.3394558;210;1.87905;32.6772;64.9
551.2185034;211;0;31.9311;80.8
