Onset;Bar.Crotchet;Duration (s);Tempo (bpm);Intesity (dB)
116;48.4;0.490667;125;77.1
116.4906667;49.1;0.490667;122.283;74.9
116.9813333;49.2;0.405333;122.283;70
117.3866667;49.3;0.586667;148.026;71.2
117.9733333;49.4;0.548115;102.273;72.3
118.5214479;50.1;0.529219;109.466;72.1
119.0506667;50.2;0.462938;113.375;76.2
119.5136042;50.3;0.422396;129.607;76.2
119.936;50.4;0.501333;142.047;78.6
120.4373333;51.1;0.48;119.681;78.6
120.9173333;51.2;0.426667;125;76.3
121.344;51.3;0.416;140.625;78.9
121.76;51.4;0.48;144.231;79.9
122.24;52.1;0.48;125;75.3
122.72;52.2;0.437333;125;75.2
123.1573333;52.3;0.405333;137.195;77.7
123.5626667;52.4;0.458667;148.026;78.2
124.0213333;53.1;0.469333;130.814;77.7
124.4906667;53.2;0.448;127.841;77.6
124.9386667;53.3;0.4265;133.929;77.5
125.3651667;53.4;0.490833;140.68;81.3
125.856;54.1;0.714667;122.241;76
126.5706667;54.2;0.544;83.9552;78.2
127.1146667;54.3;0.469333;110.294;79.9
127.584;54.4;0.426667;127.841;76.8
128.0106667;55.1;0.586667;140.625;77.7
128.5973333;55.2;0.437333;102.273;78.7
129.0346667;55.3;0.475771;137.195;79.4
129.5104375;55.4;0.441563;126.111;74
129.952;56.1;0.506187;135.881;77
130.4581875;56.2;0.437375;118.533;78
130.8955625;56.3;0.517771;137.182;79.3
131.4133333;56.4;0.545906;115.881;81.4
131.9592396;57.1;0.58476;109.909;81.6
132.544;57.2;0.565333;102.606;77
133.1093333;57.3;0.736;106.132;80
133.8453333;57.4;0.874667;81.5217;76.8
134.72;58.1;0.704;68.5976;69.7
135.424;58.2;0.599979;85.2273;73.9
136.0239792;58.3;0.505094;100.003;70.1
136.5290729;58.4;0.52176;118.79;73.4
137.0508333;59.1;0.495833;114.995;74.5
137.5466667;59.2;0.458667;121.008;71.1
138.0053333;59.3;0.454552;130.814;73.1
138.4598854;59.4;0.484115;131.998;74.4
138.944;60.1;0.448;123.938;73.6
139.392;60.2;0.544;133.929;75
139.936;60.3;0.586667;110.294;73.1
140.5226667;60.4;0.448;102.273;76.3
140.9706667;61.1;0.522667;133.929;69.5
141.4933333;61.2;0.547594;114.796;74.9
142.0409271;61.3;0.81774;109.57;71.4
142.8586667;61.4;0.512;73.373;73.5
143.3706667;62.1;0.565333;117.188;72.3
143.936;62.2;0.565333;106.132;74.3
144.5013333;62.3;0.544;106.132;77.1
145.0453333;62.4;0.618667;110.294;73.1
145.664;63.1;0.512;96.9828;74.4
146.176;63.2;0.490667;117.188;76.1
146.6666667;63.3;0.714667;122.283;76.9
147.3813333;63.4;0.512;83.9552;77.8
147.8933333;64.1;0.554667;117.188;77.7
148.448;64.2;0.501333;108.173;75.5
148.9493333;64.3;0.512;119.681;78
149.4613333;64.4;0.497208;117.188;75.8
149.9585417;65.1;0.590792;120.674;75.3
150.5493333;65.2;0.567198;101.559;74.7
151.1165313;65.3;0.744802;105.783;69.9
151.8613333;65.4;1.056;80.5583;74.8
152.9173333;66.1;0.853333;56.8182;80.3
153.7706667;66.2;0.766875;70.3125;73.3
154.5375417;66.3;0.656313;78.2396;69.6
155.1938542;66.4;0.688812;91.4199;64.4
155.8826667;67.1;0.546885;87.1064;70.5
156.4295521;67.2;0.626448;109.712;71.2
157.056;67.3;0.522667;95.7781;66.1
157.5786667;67.4;0.533333;114.796;62.5
158.112;68.1;0.533333;112.5;69.5
158.6453333;68.2;0.522667;112.5;67.8
159.168;68.3;0.544;114.796;63
159.712;68.4;0.567698;110.294;69.8
160.2796979;69.1;0.488302;105.69;72.2
160.768;69.2;0.552198;122.875;73.1
161.3201979;69.3;0.510667;108.657;73.3
161.8308646;69.4;0.643802;117.493;76.9
162.4746667;70.1;0.618667;93.1963;76.1
163.0933333;70.2;0.661333;96.9828;73
163.7546667;70.3;0.608;90.7258;77
164.3626667;70.4;0.608;98.6842;67.5
164.9706667;71.1;0.661333;98.6842;74.9
