Onset;Bar.Semiquaver;Duration (s);Tempo (bpm);Intensity (dB)
233.4081633;35.4;0.84898;73.5;54
234.2571429;35.5;0.77551;70.6731;66.4
235.0326531;35.6;0.828571;77.3684;61
235.8612245;35.7;0.906122;72.4138;65.8
236.7673469;35.8;0.906122;66.2162;61.8
237.6734694;36.1;0.750726;66.2162;66
238.424195;36.2;0.751315;79.9227;66.2
239.1755102;36.3;0.771429;79.86;68.6
239.9469388;36.4;0.812245;77.7778;63.5
240.7591837;36.5;0.714286;73.8693;64.9
241.4734694;36.6;0.771429;84;62.3
242.244898;36.7;0.731678;77.7778;66.5
242.976576;36.8;0.91322;82.0033;62.8
243.8897959;37.1;0.918367;65.7016;63.5
244.8081633;37.2;0.677551;65.3333;62
245.4857143;37.3;0.738775;88.5542;62.8
246.2244898;37.4;0.84898;81.2155;62.2
247.0734694;37.5;0.738775;70.6731;58
247.8122449;37.6;0.657143;81.2155;59.2
248.4693878;37.7;0.685714;91.3043;64.9
249.155102;37.8;0.636463;87.5;61.2
249.7915646;38.1;0.632925;94.2711;65
250.4244898;38.2;0.64229;94.7979;64.3
251.06678;38.3;0.63415;93.4157;68.7
251.7009297;38.4;0.787052;94.6149;67.6
252.4879819;38.5;0.622222;76.2338;66.3
253.1102041;38.6;0.595918;96.4286;68.4
253.7061224;38.7;0.612245;100.685;72.6
254.3183673;38.8;0.616417;98;69.7
254.9347846;39.1;0.664671;97.3367;68
255.5994558;39.2;0.608707;90.2702;72.4
256.2081633;39.3;0.616145;98.5695;74.5
256.8243084;39.4;0.779773;97.3797;75.5
257.6040816;39.5;0.726531;76.9454;74.1
258.3306122;39.6;0.518367;82.5843;75.3
258.8489796;39.7;0.57551;115.748;76.4
259.4244898;39.8;1.03673;104.255;76.4
260.4612245;40.1;0.786485;57.874;84.9
261.2477098;40.2;0.769161;76.2888;75.6
262.0168707;40.3;0.791292;78.0071;71.7
262.8081633;40.4;0.673469;75.8253;77.2
263.4816327;40.5;0.791837;89.0909;84.2
264.2734694;40.6;0.771429;75.7732;74
265.044898;40.7;0.816327;77.7778;70.6
265.8612245;40.8;0.714286;73.5;72.1
266.5755102;41.1;0.885714;84;83.3
267.4612245;41.2;0.779592;67.7419;75
268.2408163;41.3;0.831995;76.9633;71.8
269.0728118;41.4;0.727188;72.1158;75.7
269.8;41.5;0.816327;82.5096;82.1
270.6163265;41.6;0.812245;73.5;76.1
271.4285714;41.7;0.783673;73.8693;69.7
272.2122449;41.8;0.865306;76.5625;78.4
273.077551;42.1;0.783673;69.3396;84
273.8612245;42.2;0.958186;76.5625;71.7
274.8194104;42.3;0.964263;62.6183;70.7
275.7836735;42.4;0.794626;62.2237;76
276.5782993;42.5;0.854354;75.5072;79.9
277.4326531;42.6;0.926531;70.2285;74.6
278.3591837;42.7;0.95102;64.7577;70.5
279.3102041;42.8;0.928571;63.0901;75
280.2387755;43.1;0.855442;64.6154;77.7
281.0942177;43.2;0.934354;70.1392;72.3
282.0285714;43.3;0.979592;64.2155;67.6
283.0081633;43.4;0.963265;61.25;74.7
283.9714286;43.5;0.95102;62.2881;76.1
284.922449;43.6;1.0449;63.0901;72.9
285.9673469;43.7;1.1551;57.4219;65.3
287.122449;43.8;1.73878;51.9435;67.5
288.8612245;44.1;1.14694;34.507;65.8
290.0081633;44.2;1.01333;52.3132;64.6
291.0214966;44.3;0.922993;59.2105;64.3
291.9444898;44.4;1.00426;65.0059;69.6
292.9487528;44.5;0.963628;59.7453;75.1
293.912381;44.6;0.870748;62.2647;69.6
294.7831293;44.7;0.963628;68.9062;74.6
295.7467574;44.8;1.0449;62.2647;69.2
296.7916553;45.1;0.957823;57.4219;78.9
297.7494785;45.2;0.847528;62.642;71.1
298.5970068;45.3;0.870748;70.7941;67.6
299.4677551;45.4;0.853333;68.9062;67.1
300.3210884;45.5;1.06948;70.3125;66.3
301.3905669;45.6;0.776508;56.1021;55.3
302.1670748;45.7;0.806893;77.269;69.8
302.9739683;45.8;0.812698;74.3593;67.6
303.7866667;46.1;0.905578;73.8281;66.6
304.6922449;46.2;0.864943;66.256;62.8
305.5571882;46.3;0.864943;69.3687;71.7
306.4221315;46.4;0.946213;69.3687;68.8
307.3683447;46.5;0.925896;63.4107;70.1
308.2942404;46.6;0.850431;64.8021;69.3
309.1446712;46.7;0.913469;70.5525;75.3
310.0581406;46.8;0.880272;65.6836;77.1
310.9384127;47.1;0.911383;68.1607;73.7
311.8497959;47.2;1.02168;65.834;72
312.8714739;47.3;0.952018;58.7269;70.6
313.8234921;47.4;0.992834;63.024;64.8
314.8163265;47.5;0.934422;60.433;63
315.7507483;47.6;1.0166;64.2108;66.6
316.7673469;47.7;1.11383;59.0203;65.4
317.8811791;47.8;1.50349;53.8681;60.9
319.3846712;48.1;0.882358;39.9071;65
320.2670295;48.2;0.760454;67.9996;66.1
321.027483;48.3;0.84059;78.9003;67.6
321.8680726;48.4;0.796417;71.3785;62.7
322.6644898;48.5;0.795283;75.3374;67.7
323.4597732;48.6;0.760454;75.4448;68.4
324.2202268;48.7;0.775692;78.9003;70.7
324.9959184;48.8;0.826485;77.3503;71.5
325.8224036;49.1;0.841723;72.5966;66.9
326.664127;49.2;0.714014;71.2823;68.7
327.3781406;49.3;0.687166;84.032;70.9
328.0653061;49.4;0.706032;87.3152;69
328.7713379;49.5;0.853333;84.982;73.5
329.6246712;49.6;0.809796;70.3125;70.6
330.4344671;49.7;0.789478;74.0927;69.6
331.2239456;49.8;0.815601;75.9995;68.2
332.0395465;50.1;0.748844;73.5654;71.9
332.78839;50.2;0.679184;80.1235;70.2
333.4675737;50.3;0.766258;88.3413;72
334.2338322;50.4;0.725624;78.3026;73.4
334.9594558;50.5;0.818503;82.6875;73.8
335.7779592;50.6;0.702404;73.3045;73.1
