Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
57.21344671;36.5;0.238526;269.094;78.3
57.45197279;36.6;0.261156;251.545;77.8
57.71312925;37.1;0.261293;229.747;77.3
57.97442177;37.2;0.24381;229.628;75.1
58.21823129;37.3;0.269932;246.094;74
58.48816327;37.4;0.287347;222.278;72.2
58.7755102;37.5;0.339592;208.807;69.1
59.11510204;37.6;0.383129;176.683;64.4
59.49823129;38.1;0.304762;156.605;71.1
59.8029932;38.2;0.304762;196.875;67.9
60.1077551;38.3;0.182857;196.875;72.7
60.29061225;38.4;0.226395;328.125;76.2
60.5170068;38.5;0.200272;265.024;76.5
60.71727891;38.6;0.235102;299.592;74.7
60.95238095;39.1;0.252517;255.208;78.1
61.20489796;39.2;0.269932;237.608;76.1
61.47482993;39.3;0.191565;222.278;72.2
61.66639456;39.4;0.206576;313.21;74.3
61.87297052;39.5;0.383356;290.45;71.2
62.25632653;39.6;0.141497;156.512;78.8
62.39782313;40.1;0.226395;424.038;79.1
62.62421769;40.2;0.203968;265.024;77.3
62.82818594;40.3;0.222698;294.163;80.4
63.05088435;40.4;0.191565;269.423;79.6
63.24244898;40.5;0.261224;313.21;83.4
63.50367347;40.6;0.226531;229.688;84.8
63.73020408;41.1;0.234966;264.865;81.7
63.96517007;41.2;0.210431;255.356;78.7
64.17560091;41.3;0.233651;285.129;74.7
64.4092517;41.4;0.182857;256.793;71.7
64.59210884;41.5;0.269932;328.125;73.9
64.86204082;41.6;0.269932;222.278;75
65.13197279;42.1;0.24381;222.278;79.6
65.37578231;42.2;0.200272;246.094;77.3
65.57605442;42.3;0.217687;299.592;78.2
65.7937415;42.4;0.226395;275.625;80.7
66.02013605;42.5;0.252517;265.024;80.3
66.27265306;42.6;0.23288;237.608;79.9
66.50553288;43.1;0.219909;257.644;78.4
66.72544218;43.2;0.182857;272.84;74.4
66.90829932;43.3;0.235102;328.125;74.8
67.14340136;43.4;0.20898;255.208;75
67.35238095;43.5;0.235102;287.109;78.2
67.58748299;43.6;0.226395;255.208;76.8
67.81387755;44.1;0.217687;265.024;76.9
68.03156463;44.2;0.182857;275.625;76.2
68.21442177;44.3;0.226395;328.125;78.6
68.44081633;44.4;0.200272;265.024;80.7
68.64108844;44.5;0.278639;299.592;82
68.91972789;44.6;0.235102;215.332;79.3
69.15482993;45.1;0.287347;255.208;80
69.44217687;45.2;0.200272;208.807;76.9
69.64244898;45.3;0.20898;299.592;78.3
69.85142857;45.4;0.226395;287.109;75.4
70.07782313;45.5;0.230748;265.024;76.7
70.30857143;45.6;0.317823;260.024;77.7
70.62639456;46.1;0.278639;188.784;74.3
70.90503401;46.2;0.273288;215.332;70
71.178322;46.3;0.249161;219.549;70.1
71.42748299;46.4;0.200272;240.808;71.4
71.6277551;46.5;0.20898;299.592;76.8
71.83673469;46.6;0.229048;287.109;77
72.06578231;47.1;0.258571;261.954;79.3
72.32435374;47.2;0.191565;232.044;72.1
72.51591837;47.3;0.191565;313.21;77.9
72.70748299;47.4;0.20898;313.21;78
72.91646259;47.5;0.252517;287.109;80.7
73.16897959;47.6;0.224422;237.608;79.6
73.39340136;48.1;0.263197;267.354;81.6
73.65659864;48.2;0.222789;227.966;78.8
73.87938776;48.3;0.169048;269.313;77.1
74.04843537;48.4;0.191565;354.93;81.3
74.24;48.5;0.20898;313.21;83
74.44897959;48.6;0.20898;287.109;80
74.65795918;49.1;0.235102;287.109;82.1
74.89306122;49.2;0.212948;255.208;80.5
75.10600907;49.3;0.196304;281.759;80
75.30231293;49.4;0.203333;305.649;82.6
75.50564626;49.5;0.275578;295.082;80.6
75.78122449;49.6;0.352653;217.724;78.7
76.13387755;50.1;0.248163;170.139;81.7
76.38204082;50.2;0.304762;241.776;75.2
76.68680272;50.3;0.17415;196.875;77.9
76.86095238;50.4;0.200272;344.531;80.7
77.06122449;50.5;0.20898;299.592;84.4
77.27020408;50.6;0.20898;287.109;80.6
77.47918367;51.1;0.252517;287.109;79.4
77.73170068;51.2;0.235102;237.608;79
77.96680272;51.3;0.217687;255.208;81.3
78.1844898;51.4;0.191565;275.625;79.9
78.37605442;51.5;0.226395;313.21;79.8
78.60244898;51.6;0.220726;265.024;80.2
78.8231746;52.1;0.205941;271.831;82.3
79.02911565;52.2;0.182857;291.346;80.9
79.21197279;52.3;0.226395;328.125;79.8
79.43836735;52.4;0.200272;265.024;83.7
79.63863946;52.5;0.217687;299.592;84.4
79.85632653;52.6;0.278639;275.625;81.9
80.13496599;53.1;0.269932;215.332;82.5
80.40489796;53.2;0.269932;222.278;78.3
80.67482993;53.3;0.24381;222.278;78
80.91863946;53.4;0.185034;246.094;78.2
81.10367347;53.5;0.241633;324.265;78.9
81.34530612;53.6;0.217687;248.311;78
81.5629932;54.1;0.304762;275.625;79.1
81.8677551;54.2;0.191565;196.875;75.2
82.05931973;54.3;0.200272;313.21;78.3
82.25959184;54.4;0.200272;299.592;76.6
82.45986395;54.5;0.20898;299.592;80.3
82.66884354;54.6;0.182857;287.109;80.8
82.85170068;55.1;0.235102;328.125;81.8
83.08680272;55.2;0.198095;255.208;79.9
83.28489796;55.3;0.193742;302.885;79.3
83.47863946;55.4;0.185034;309.691;79.5
83.66367347;55.5;0.232925;324.265;83.6
83.89659864;55.6;0.191565;257.593;83.4
84.08816327;56.1;0.226395;313.21;84.6
84.31455782;56.2;0.200272;265.024;80.3
84.51482993;56.3;0.226395;299.592;81.3
84.74122449;56.4;0.179683;265.024;80
84.92090703;56.5;0.186032;333.922;84.9
85.10693878;56.6;0.226395;322.526;84.6
85.33333333;57.1;0.261224;265.024;86.4
85.59455782;57.2;0.192426;229.688;82.6
85.78698413;57.3;0.19941;311.808;84.1
85.98639456;57.4;0.217687;300.887;82.7
86.20408163;57.5;0.226395;275.625;84.6
86.43047619;57.6;0.289524;265.024;83.8
86.72;58.1;0.407075;207.237;82
87.12707483;58.2;0.304762;147.393;78.1
87.43183674;58.3;0.235102;196.875;78.9
87.66693878;58.4;0.24381;255.208;77.1
87.9107483;58.5;0.219864;246.094;74.5
88.13061225;58.6;0.267755;272.896;72.1
88.39836735;59.1;0.217687;224.085;65.9
88.61605442;59.2;0.24381;275.625;61.4
88.85986395;59.3;0.287347;246.094;64.3
89.14721088;59.4;0.269932;208.807;53.1
89.41714286;59.5;0.313469;222.278;68.9
89.73061225;59.6;0.278639;191.406;56.4
90.0092517;60.1;0.261224;215.332;64.3
90.27047619;60.2;0.261224;229.688;66.8
90.53170068;60.3;0.226395;229.688;60.2
90.75809524;60.4;0.235102;265.024;69.4
90.99319728;60.5;0.20898;255.208;67.1
91.20217687;60.6;0.24381;287.109;67.6
91.4459864;61.1;0.217687;246.094;75.3
91.66367347;61.2;0.245669;275.625;76.1
91.9093424;61.3;0.259365;244.231;67.8
92.16870748;61.4;0.226395;231.334;71.1
92.39510204;61.5;0.226395;265.024;69.2
92.6214966;61.6;0.252086;265.024;65.6
92.87358277;62.1;0.235533;238.014;65.9
93.10911565;62.2;0.24381;254.742;70
93.35292517;62.3;0.226395;246.094;65.7
93.57931973;62.4;0.235102;265.024;71.6
93.81442177;62.5;0.226395;255.208;73.2
94.04081633;62.6;0.252517;265.024;74.5
94.29333333;63.1;0.217687;237.608;71.9
94.51102041;63.2;0.278639;275.625;73.6
94.78965986;63.3;0.217687;215.332;68.2
95.00734694;63.4;0.226395;275.625;70.3
95.2337415;63.5;0.217687;265.024;73.5
