Onset;Bar.Quaver;Duration (s);Tempo (bpm);Intensity (dB)
65.004;48.5;0.2;258.621;76.4
65.204;48.6;0.212;300;73.3
65.416;49.1;0.184;283.019;77.1
65.6;49.2;0.22;326.087;75
65.82;49.3;0.196;272.727;74.3
66.016;49.4;0.212;306.122;72.5
66.228;49.5;0.252;283.019;72
66.48;49.6;0.196;238.095;70.8
66.676;50.1;0.244;306.122;74.4
66.92;50.2;0.188;245.902;75.3
67.108;50.3;0.188;319.149;77.1
67.296;50.4;0.2;319.149;78.5
67.496;50.5;0.224;300;74.5
67.72;50.6;0.214177;267.857;75.3
67.93417708;51.1;0.273823;280.142;73.2
68.208;51.2;0.228;219.12;73.3
68.436;51.3;0.184;263.158;78.1
68.62;51.4;0.192;326.087;74.9
68.812;51.5;0.204;312.5;74.8
69.016;51.6;0.224;294.118;79.2
69.24;52.1;0.24;267.857;79.4
69.48;52.2;0.208;250;75.4
69.688;52.3;0.188;288.462;75.2
69.876;52.4;0.18;319.149;77.1
70.056;52.5;0.204;333.333;77.4
70.26;52.6;0.22;294.118;77.4
70.48;53.1;0.26275;272.727;77.5
70.74275;53.2;0.20925;228.354;78.1
70.952;53.3;0.184;286.738;77.5
71.136;53.4;0.18;326.087;77.9
71.316;53.5;0.2;333.333;78
71.516;53.6;0.232;300;79.6
71.748;54.1;0.26;258.621;78.1
72.008;54.2;0.184;230.769;77.9
72.192;54.3;0.184;326.087;77.7
72.376;54.4;0.212;326.087;79.6
72.588;54.5;0.2;283.019;78.3
72.788;54.6;0.24;300;79
73.028;55.1;0.208;250;79.4
73.236;55.2;0.2;288.462;77.8
73.436;55.3;0.18;300;77.5
73.616;55.4;0.2;333.333;77.5
73.816;55.5;0.233885;300;79.5
74.04988542;55.6;0.206115;256.536;80.1
74.256;56.1;0.244;291.1;80.3
74.5;56.2;0.192;245.902;78.4
74.692;56.3;0.208;312.5;77.1
74.9;56.4;0.164;288.462;77.7
75.064;56.5;0.226458;365.854;80.6
75.29045833;56.6;0.189542;264.949;79.5
75.48;57.1;0.228;316.553;80.3
75.708;57.2;0.18;263.158;80
75.888;57.3;0.224;333.333;80.3
76.112;57.4;0.192;267.857;79.2
76.304;57.5;0.227604;312.5;81.1
76.53160417;57.6;0.252396;263.616;80
76.784;58.1;0.352;237.722;78.5
77.136;58.2;0.268;170.455;76.2
77.404;58.3;0.22;223.881;75.1
77.624;58.4;0.22;272.727;74.7
77.844;58.5;0.203542;272.727;75.7
78.04754167;58.6;0.206594;294.78;73.3
78.25413542;59.1;0.209865;290.425;71.5
78.464;59.2;0.228;285.899;69.2
78.692;59.3;0.2;263.158;65.4
78.892;59.4;0.252;300;54.9
79.144;59.5;0.223417;238.095;63.4
79.36741667;59.6;0.228583;268.557;53.4
79.596;60.1;0.244;262.486;61.9
79.84;60.2;0.2;245.902;63.3
80.04;60.3;0.2;300;58.2
80.24;60.4;0.196;300;56.3
80.436;60.5;0.204;306.122;62.5
80.64;60.6;0.208;294.118;61.6
80.848;61.1;0.234187;288.462;67.3
81.0821875;61.2;0.209813;256.205;73.5
81.292;61.3;0.209573;285.97;65.1
81.50157292;61.4;0.218427;286.297;60.8
81.72;61.5;0.213177;274.691;62.8
81.93317708;61.6;0.210823;281.456;58.8
82.144;62.1;0.211156;284.599;61.8
82.35515625;62.2;0.2295;284.15;67.8
82.58465625;62.3;0.183344;261.438;61.5
82.768;62.4;0.208;327.254;63.5
82.976;62.5;0.184;288.462;65.8
83.16;62.6;0.228;326.087;62.5
83.388;63.1;0.210635;263.158;67.7
83.59863542;63.2;0.227427;284.852;72
83.8260625;63.3;0.185937;263.821;67.1
84.012;63.4;0.2;322.689;65
84.212;63.5;0.212;300;67.4
84.424;63.6;0.212;283.019;61.1
84.636;64.1;0.224;283.019;70.1
84.86;64.2;0.188;267.857;72.8
85.048;64.3;0.204;319.149;70
85.252;64.4;0.228062;294.118;68.7
85.4800625;64.5;0.155937;263.086;70.2
85.636;64.6;0.216;384.77;71.9
85.852;65.1;0.204;277.778;71
86.056;65.2;0.204;294.118;72.7
86.26;65.3;0.231198;294.118;70.2
86.49119792;65.4;0.176802;259.518;72.3
86.668;65.5;0.204;339.363;70.4
86.872;65.6;0.184;294.118;68.8
87.056;66.1;0.216;326.087;71.6
87.272;66.2;0.212;277.778;72.6
87.484;66.3;0.192;283.019;73.6
87.676;66.4;0.196;312.5;76.5
87.872;66.5;0.204;306.122;75.6
88.076;66.6;0.237062;294.118;67.6
88.3130625;67.1;0.18651;253.098;69.4
88.49957292;67.2;0.188427;321.698;66.2
88.688;67.3;0.212;318.426;65.8
88.9;67.4;0.196;283.019;63.6
89.096;67.5;0.236;306.122;63.2
89.332;67.6;0.22;254.237;60.4
89.552;68.1;0.22;272.727;65
89.772;68.2;0.284;272.727;68.3
90.056;68.3;0.212;211.268;65.8
90.268;68.4;0.22;283.019;67.8
90.488;68.5;0.242229;272.727;66.8
90.73022917;68.6;0.237771;247.699;58.7
90.968;69.1;0.212;252.344;69.3
91.18;69.2;0.184;283.019;64.9
91.364;69.3;0.208;326.087;63.1
91.572;69.4;0.176;288.462;65.3
91.748;69.5;0.216;340.909;70.1
91.964;69.6;0.245854;277.778;65.7
92.20985417;70.1;0.206146;244.047;68.9
92.416;70.2;0.246354;291.056;72.1
92.66235417;70.3;0.317646;243.552;73.1
92.98;70.4;0.24;188.89;68.6
93.22;70.5;0.188;250;60.5
93.408;70.6;0.204;319.149;60.3
93.612;71.1;0.228;294.118;67.1
93.84;71.2;0.208;263.158;68.1
94.048;71.3;0.176;288.462;70.2
94.224;71.4;0.204;340.909;68.7
94.428;71.5;0.2;294.118;69.6
94.628;71.6;0.212;300;68.4
94.84;72.1;0.210656;283.019;65.2
95.05065625;72.2;0.21876;284.824;64.6
95.26941667;72.3;0.199719;274.273;60.9
95.46913542;72.4;0.202865;300.422;64.3
95.672;72.5;0.208;295.764;57.2
95.88;72.6;0.24;288.462;56
96.12;73.1;0.26;250;57.1
96.38;73.2;0.252;230.769;62.4
96.632;73.3;0.256;238.095;54.8
96.888;73.4;0.204;234.375;59.8
97.092;73.5;0.212;294.118;62.8
97.304;73.6;0.208;283.019;61.5
97.512;74.1;0.212;288.462;69.2
97.724;74.2;0.208;283.019;69.6
97.932;74.3;0.2;288.462;68.2
98.132;74.4;0.212;300;57.6
98.344;74.5;0.240812;283.019;59.8
98.5848125;74.6;0.211187;249.156;58.7
98.796;75.1;0.196;284.108;67.3
98.992;75.2;0.244;306.122;60.5
99.236;75.3;0.232208;245.902;50.3
99.46820833;75.4;0.259792;258.389;49.9
99.728;75.5;0.276;230.954;61.3
100.004;75.6;0.288;217.391;50.9
100.292;76.1;0.268;208.333;61.8
100.56;76.2;0.252;223.881;51.9
100.812;76.3;0.316;238.095;46.8
101.128;76.4;2.02933;189.873;43.4
103.1573333;76.5;0.298667;29.5664;51.8
103.456;76.6;0.28;200.893;67.9
103.736;77.1;0.342167;214.286;66.8
104.0781667;77.2;0.349833;175.353;61.3
104.428;77.3;0.376;171.51;49.4
104.804;77.4;0.44;159.574;42.5
105.244;77.5;0.328;136.364;51.4
105.572;77.6;0.351312;182.927;60.3
105.9233125;78.1;0.468688;170.788;58.8
106.392;78.2;0.444;128.017;53.5
106.836;78.3;0.384;135.135;42.9
107.22;78.4;0.476;156.25;37.9
107.696;78.5;0.468;126.05;43.3
108.164;78.6;0.484;128.205;52.1
108.648;79.1;0.384;123.967;58.8
109.032;79.2;0.352;156.25;61.7
109.384;79.3;0.284;170.455;61
109.668;79.4;0.248;211.268;64.4
109.916;79.5;0.267854;241.935;66.4
110.1838542;79.6;0.28051;224.002;68.4
110.4643646;80.1;0.235635;213.896;65.3
110.7;80.2;0.228;254.631;68.9
110.928;80.3;0.243448;263.158;69.6
111.1714479;80.4;0.240552;246.459;67.2
111.412;80.5;0.252;249.426;67.2
111.664;80.6;0.304;238.095;70.4
111.968;81.1;0.288;197.368;70.4
112.256;81.2;0.276;208.333;71.2
112.532;81.3;0.2;217.391;70.9
112.732;81.4;0.26;300;70.1
112.992;81.5;0.245948;230.769;70.1
113.2379479;81.6;0.251083;243.954;74.1
113.4890313;82.1;0.274969;238.964;72.5
113.764;82.2;0.236;218.207;74.6
114;82.3;0.248;254.237;72.7
114.248;82.4;0.304;241.935;72.2
114.552;82.5;0.312;197.368;68.3
114.864;82.6;0.348;192.308;71.4
115.212;83.1;0.252;172.414;69.7
115.464;83.2;0.292;238.095;72.6
115.756;83.3;0.223167;205.479;69.5
115.9791667;83.4;0.268833;268.857;74.2
116.248;83.5;0.236;223.187;74.6
116.484;83.6;0.244;254.237;76.1
116.728;84.1;0.224;245.902;72.8
116.952;84.2;0.256;267.857;76
117.208;84.3;0.252;234.375;74.7
117.46;84.4;0.236;238.095;80.3
117.696;84.5;0.224;254.237;72.3
117.92;84.6;0.319104;267.857;76.9
118.2391042;85.1;0.316896;188.026;73.6
118.556;85.2;0.26;189.337;75.4
118.816;85.3;0.24;230.769;71.5
119.056;85.4;0.232;250;69
119.288;85.5;0.248;258.621;71.7
119.536;85.6;0.256;241.935;70.6
119.792;86.1;0.244;234.375;69.3
