Onset;Bar.Minim;Duration (s);Tempo (bpm);Intensity (dB)
318.7346939;173.2;1.2;56.9767;72.4
319.9346939;174.1;1.33061;50;78.1
321.2653061;174.2;1.80408;45.092;74.7
323.0693878;175.1;0.824535;33.2579;73.9
323.8939229;175.2;0.759138;72.7683;71.7
324.6530612;176.1;0.661224;79.037;74
325.3142857;176.2;0.693878;90.7407;75.2
326.0081633;177.1;0.8;86.4706;75.6
326.8081633;177.2;0.808163;75;77.4
327.6163265;178.1;0.814603;74.2424;79.5
328.4309297;178.2;0.84161;73.6555;78.8
329.2725397;179.1;0.809093;71.2919;77.6
330.0816327;179.2;0.788073;74.1571;76.3
330.8697052;180.1;0.820091;76.1351;77.6
331.6897959;180.2;0.791837;73.1626;84.8
332.4816327;181.1;0.803039;75.7732;85.5
333.2846712;181.2;0.805125;74.7162;79.2
334.0897959;182.1;0.881406;74.5226;81.7
334.9712018;182.2;0.816553;68.0731;77.4
335.7877551;183.1;0.808163;73.4796;73.8
336.5959184;183.2;0.75102;74.2424;79.9
337.3469388;184.1;0.881633;79.8913;84.6
338.2285714;184.2;0.801088;68.0556;80.1
339.0296599;185.1;0.847891;74.8981;82.2
339.877551;185.2;0.808163;70.7638;83.3
340.6857143;186.1;0.783673;74.2424;89.6
341.4693878;186.2;0.8;76.5625;79.5
342.2693878;187.1;0.865306;75;75.6
343.1346939;187.2;0.850771;69.3396;77.4
343.9854649;188.1;0.85161;70.5243;74.4
344.8370748;188.2;0.803742;70.4548;75
345.6408163;189.1;0.726531;74.6509;84.7
346.3673469;189.2;0.702041;82.5843;83.7
347.0693878;190.1;0.653061;85.4651;83.6
347.722449;190.2;0.620408;91.875;82.2
348.3428571;191.1;0.661224;96.7105;86.9
349.0040816;191.2;0.658435;90.7407;78.5
349.662517;192.1;0.639524;91.1251;80.3
350.3020408;192.2;0.670635;93.8198;79.8
350.9726757;193.1;0.672766;89.4675;79
351.6454422;193.2;0.713741;89.184;78.1
352.3591837;194.1;0.639025;84.064;80.4
352.9982086;194.2;0.694014;93.8931;82.5
353.6922222;195.1;0.755329;86.4536;83.8
354.447551;195.2;0.662653;79.4356;83.6
355.1102041;196.1;0.661224;90.5451;82.6
355.7714286;196.2;0.685714;90.7407;83.5
356.4571429;197.1;0.8;87.5;83.1
357.2571429;197.2;0.865306;75;84.8
358.122449;198.1;0;69.3396;87.7
