Onset;Bar.Minim;Duration (s);Tempo (bpm);Intesity (dB)
365.4878912;176.1;0.922993;60.0927;67.1
366.4108844;176.2;1.0507;65.0059;71.9
367.4615873;177.1;0.934603;57.1046;66
368.3961905;177.2;1.10295;64.1984;64.5
369.4991383;178.1;0.977324;54.3997;61.2
370.4764626;178.2;0.996372;61.3921;69.1
371.4728345;179.1;0.986848;60.2185;69.7
372.4596825;179.2;0.982177;60.7996;67.3
373.4418594;180.1;0.944399;61.0888;68.2
374.3862585;180.2;0.981723;63.5325;64.5
375.3679819;181.1;1.00726;61.117;65.1
376.3752381;181.2;0.972245;59.5678;62.9
377.347483;182.1;1.02748;61.7128;70.9
378.374966;182.2;0.992653;58.3951;71.8
379.367619;183.1;0.998458;60.4441;78.6
380.3660771;183.2;0.940408;60.0927;75.8
381.3064853;184.1;0.922993;63.8021;75.4
382.2294785;184.2;0.924218;65.0059;76.9
383.1536961;185.1;0.991429;64.9198;74.7
384.1451247;185.2;0.934467;60.5187;79.9
385.0795918;186.1;0.87288;64.2077;74.7
385.9524717;186.2;0.938413;68.738;78
386.8908844;187.1;1.03909;63.9378;77.8
387.9299773;187.2;0.934603;57.7427;71.8
388.8645805;188.1;0.876553;64.1984;68.5
389.7411338;188.2;0.928798;68.4499;76.5
390.669932;189.1;0.940408;64.5996;77
391.6103401;189.2;0.905578;63.8021;74.8
392.5159184;190.1;0.946213;66.256;69
393.4621315;190.2;0.963628;63.4107;69.3
394.4257596;191.1;0.847528;62.2647;68.7
395.273288;191.2;0.899773;70.7941;73.7
396.1730612;192.1;0.911383;66.6835;75.9
397.0844444;192.2;0.957823;65.834;72.9
398.0422676;193.1;0.981043;62.642;76.6
399.0233107;193.2;0.934603;61.1594;78.9
399.9579138;194.1;1.06812;64.1984;68.3
401.0260317;194.2;1.26549;56.1736;74.9
402.2915193;195.1;0.934603;47.4126;69
403.2261224;195.2;1.01007;64.1984;71.1
404.2361905;196.1;1.02748;59.4019;71.5
405.2636735;196.2;0.957823;58.3951;69.5
406.2214966;197.1;0.975238;62.642;71.5
407.1967347;197.2;0.973832;61.5234;75.2
408.1705669;198.1;0.924399;61.6123;72
409.094966;198.2;0.93746;64.907;73.4
410.0324263;199.1;0.873696;64.0027;71.1
410.9061224;199.2;0.893968;68.6738;74.7
411.8000907;200.1;0.888163;67.1165;71.9
412.688254;200.2;0.905578;67.5551;73.7
413.5938322;201.1;0.952018;66.256;74.9
414.5458503;201.2;0.992653;63.024;72
415.5385034;202.1;1.03909;60.4441;77.1
